¿¬¹ø,symbol,ÀÏÀÚ,½Ã°£,¼öÀÍ·ü,½Â·ü,ºñ°í
1,BTC,4/8/2024,13:00,2.62,65.35,È¾º¸
2,BTC,4/9/2024,13:00,1.23,64.88,»ó½ÂÀå
3,BTC,4/10/2024,13:00,2.23,65.22,ÇÏ¶ôÀå
4,BTC,4/11/2024,13:00,1.79,64.93,È¾º¸
5,BTC,4/12/2024,-,-,-,È¾º¸
6,BTC,4/13/2024,13:00,0.27,64.22,ÇÏ¶ôÀå
7,BTC,4/14/2024,13:00,-3.41,63.68,È¾º¸ ¡æ ÇÏ¶ô
8,BTC,4/15/2024,15:15,-3.39,63.6,"È¾º¸ ¡æ »ó½Â
·ÕÆ÷Áö¼Ç Ã»»ê 1È¸"
9,BTC,4/16/2024,11:00,-2.92,63.79,»ó ¡æ ÇÏ
10,BTC,4/17/2024,11:00,-5.5,63.0322,º¯µ¿¼º ³ôÀ½
11,BTC,4/18/2024,13:00,-5.99,62.81,ÇÏ¶ôÀå
12,BTC,4/19/2024,11:00,-6.96,62.6,»ó½Â
13,BTC,4/20/2024,11:00,-6.19,62.55,ÇÏ¶ô¡æ»ó½Â - > È¾º¸
14,BTC,4/21/2024,12:30,-5.34,62.85,»ó½ÂÀå
15,BTC,4/22/2024,-,-,-,»ó½ÂÀå
16,BTC,4/23/2024,12:30,-10.69,60.82,»ó½ÂÀå
17,BTC,4/24/2024,-,-,-,È¾º¸
18,BTC,4/25/2024,-,-,-,ÇÏ¶ôÀå
19,BTC,4/26/2024,11:00,-11.01,60.8,È¾º¸
20,BTC,4/27/2024,-,-,,ÇÏ¶ô
21,BTC,4/28/2024,-,-,-,»ó½Â
22,BTC,4/29/2024,11:00,-14.49,59.61,È¾º¸ ¡æ ÇÏ¶ô
23,BTC,4/30/2024,11:00,-14.34,59.71,»ó½Â ¡æ ÇÏ¶ô
24,BTC,5/1/2024,11:00,-13.09,60.19,ÇÏ¶ô
25,BTC,5/2/2024,-,-,-,ÇÏ¶ô
26,BTC,5/3/2024,-,-,-,»ó½Â
27,BTC,5/4/2024,16:00,-12.72,60.79,»ó½Â
28,BTC,5/5/2024,13:00,-12.9,60.7,È¾º¸
29,BTC,5/6/2024,-,-,-,È¾º¸
30,BTC,5/7/2024,10:00,-11.75,61.11,ÇÏ¶ô
31,BTC,5/8/2024,11:00,-12.88,60.76,ÇÏ¶ô
